url,titel,datum,nuttig,toelichting
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-22,nee,"Tekst is erg formeel, ik snap niet wat ik nu moet doen."
/id-kaart-aanvragen-buitenland,Identiteitskaart aanvragen in het buitenland,2026-07-23,misschien,"Half antwoord gevonden."
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-01,nee,"Wat kost een spoedaanvraag? Er staat geen bedrag."
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-03,nee,"Hoe snel is spoed? Een dag, een week? Dat moet erbij."
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-05,nee,"Ik sta op het vliegveld zonder paspoort en weet niet wie ik moet bellen."
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-06,ja,
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-08,nee,"Geen telefoonnummer voor noodgevallen te vinden op deze pagina."
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-09,nee,"Onduidelijk of een nooddocument hetzelfde is als een spoedpaspoort."
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-11,nee,"In het weekend is alles dicht. Wat moet ik dan doen?"
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-13,nee,"Wat de kosten zijn blijft een raadsel."
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-14,ja,"Het noodnummer stond er gelukkig toch."
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-16,nee,"Hoe lang duurt het precies? Ik moet morgen vliegen."
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-18,nee,"Ik begrijp niet of ik hier of bij de marechaussee moet zijn."
/paspoort-spoedaanvraag-buitenland,Paspoort met spoed aanvragen in het buitenland,2026-07-20,nee,"Kosten en doorlooptijd ontbreken allebei."
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-02,nee,"Moeten beide ouders mee? Dat staat er niet duidelijk."
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-04,ja,"Het formulier voor toestemming was makkelijk te vinden."
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-05,nee,"Ik ben gescheiden. Wat als de andere ouder niet meewerkt?"
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-07,ja,
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-09,nee,"Moet mijn kind zelf mee naar de ambassade?"
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-10,ja,
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-12,ja,"Duidelijk welke documenten nodig zijn."
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-14,nee,"Toestemmingsformulier staat er wel, maar niet waar ik het heen moet sturen."
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-16,ja,
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-18,nee,"Onduidelijk of een kind van 17 dit zelf mag regelen."
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-20,ja,
/paspoort-kind-buitenland,Paspoort aanvragen voor een kind in het buitenland,2026-07-21,ja,
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-01,nee,"Moet ik eerst aangifte doen bij de lokale politie? Staat er niet bij."
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-03,ja,"Stappen waren helder."
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-05,nee,"Ik weet nu wel wat ik moet doen, maar niet hoe lang het duurt."
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-07,ja,
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-09,nee,"Hoe kom ik zonder paspoort thuis? Daar gaat de pagina niet op in."
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-11,ja,
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-13,nee,"Wat kost een laissez-passer?"
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-15,ja,
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-17,nee,"Ik moet aangifte doen maar weet niet welk bewijs de ambassade wil zien."
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-19,ja,
/reisdocument-kwijt-buitenland,Paspoort kwijt of gestolen in het buitenland,2026-07-22,nee,"Onduidelijk hoe lang een nooddocument geldig is."
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-02,ja,
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-04,ja,"Alles stond erop, ook de kosten."
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-06,ja,
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-08,ja,
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-10,nee,"Mijn gemeente stond niet in de lijst."
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-12,ja,
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-14,ja,
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-16,ja,
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-18,ja,
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-20,nee,"Doorlooptijd klopte niet met wat de balie zei."
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-22,ja,
/paspoort-verlengen-nederland,Paspoort verlengen in Nederland,2026-07-24,ja,
/paspoort-kosten,Kosten van een paspoort,2026-07-05,nee,"Bedragen voor het buitenland ontbreken."
/paspoort-kosten,Kosten van een paspoort,2026-07-11,nee,"Ik zocht de consulaire toeslag."
/paspoort-kosten,Kosten van een paspoort,2026-07-19,ja,
